DR,Ratio
ON23,500
ONDS03,100
ONON03,500
ORCL01,1600
ORCL06,2500
ORCL19,1000
ORCL23,2000
ORCL80,1000
OXY03,1000
PANW19,2500
PANW80,1000
PEP80,5000
PETROCN80,10
PFIZER19,50
PINGAN01,44
PINGAN11,50
PINGAN80,100
PLAB03,600
PLTR01,1100
PLTR03,1500
PLTR06,1500
PLTR23,1900
PLTR80,1700
PNG80,1000
POPMART11,100
POPMART23,420
POPMART80,100
PWR03,10000
PWR80,7000
PYPL06,500
QBTS03,400
QCOM06,2000
QCOM23,2200
QCOM80,1700
QQQM19,500
RBLX06,1200
REMX03,1000
RGTI03,200
RGTI23,250
RKLB01,1000
RKLB03,500
RKLB23,2000
RKLB80,1000
SANOFI80,1000
SANRIO23,136
SANRIO80,20
SBUX80,2000
SCHDER80,1000
SCREEN23,1000
SEAGATE23,4800
SEAGATE80,9000
SEMB19,30
SENSE23,4
SGX19,100
SHINCHEM19,500
SHINCHEM80,100
SHOP03,1500
SHOP06,2000
SIA19,10
SIL03,1000
SINGTEL80,10
SINOBIO19,5
SMCI03,500
SMFG19,100
SMIC01,70
SMIC03,100
SMIC13,150
SMIC23,85
SMR03,200
SMR23,150
SNDK03,4000
SNDK23,8000
SNDK80,10000
SNOW06,2000
SNOW23,2200
SOFI23,100
SOFTBANK23,528
SOFTBANK80,100
SONY80,200
SOXX23,1600
SP50001,2
SP500US19,200
SP500US80,1000
SPACEX01,1500
SPACEX03,3000
SPACEX06,1500
SPACEX23,1200
SPACEX80,1000
SPBOND80,100
SPCOM80,1000
SPENGY80,500
SPFIN80,100
SPHLTH80,1000
SPOT06,8000
SPTECH80,21
STAR5001,1
STEG19,10
STM03,1000
SUNGROW80,160
SUNNY19,100
SUNNY80,100
SUSHI23,332
SYM03,800
SYM23,200
SYNP03,5000
SYNP23,2500
TAIWAN19,3
TAIWANAI13,1
TAIWANHD13,1
TEL23,2710
TEL80,1000
TENCENT01,440
TENCENT06,1000
TENCENT11,100
TENCENT13,500
TENCENT19,200
TENCENT23,900
TENCENT80,100
TER01,2800
TER23,2000
TER80,1000
THAIBEV19,1
TME23,160
TONGFU23,150
TOYOTA80,100
TRIPCOM23,1000
TRIPCOM80,1000
TRVUS06,2500
TSEMI03,4500
TSEMI23,1000
TSEMI80,2500
TSLA01,340
TSLA03,3000
TSLA23,5200
TSLA80,5000
TTMI80,1500
UBER06,1000
UBTECH23,250
UNH19,2000
UNIQLO80,1000
UOB19,100
USAR03,400
USTR24,200
V3011,2
VCB11,25
VCB19,10
VDIAMOND11,2
VENTURE19,100
VGT80,100
VHM19,10
VICR80,1000
VISA06,8000
VISA80,8000
VNFIN24,20
VNM19,10
VRT01,2600
VRT23,3400
VRT80,1000
VST03,2500
VT03,1500
WDC03,8000
WMT06,1000
WMT80,1000
WORLD03,100
WORLDA01,1000
WUXI06,40
WUXI13,70
WUXIAT80,100
XIAOMI01,44
XIAOMI11,25
XIAOMI13,50
XIAOMI19,20
XIAOMI23,83
XIAOMI80,10
XPENG03,100
YOFC23,100
ZAI23,400
ZIJIN13,60
ZIJIN23,65
ZIJIN80,10
ZJINNO80,1000
